,Date,User,Tweet,num_of_likes,num_of_retweet,CleanTweet,Subjectivity,Polarity,Score
1068,2022-07-17 09:56:00+00:00,Aylaazari,@monkeydgoat Enies lobby is a goat,0,0,enies lobby is goat,0.0,0.0,Neutral
1069,2022-07-17 09:53:30+00:00,Aylaazari,"@Mr_AbPaul @1Kleide At least they bring something. A lot of ladies don’t have those so those usually are ready to bring something pecuniary to the table. 

Just choose what you want and be going, big ass or working hands it’s not easy to have.",48,9,at least they bring something lot ladies don t have those so those usually are ready bring something pecuniary table just choose what you want be going big ass or working hands it s not easy have,0.4166666666666667,-0.11333333333333333,Negative
1070,2022-07-16 21:50:35+00:00,Aylaazari,He actually ridiculed them and now using the hashtag to trend 🤣,0,0,he actually ridiculed them now using hashtag trend,0.1,0.0,Neutral
1071,2022-07-16 21:39:06+00:00,Aylaazari,"@_Ay_Mozart @DamiOluwa24 @officialABAT I’m
Lost",1,0,i m lost,0.0,0.0,Neutral
1072,2022-07-16 21:35:42+00:00,Aylaazari,@namedToobi He’s my soulmate 😩 . 👏🏾,1,0,he s my soulmate,0.0,0.0,Neutral
1073,2022-07-16 21:20:43+00:00,Aylaazari,@namedToobi For lifeeeee 😻,0,0,lifeeeee,0.0,0.0,Neutral
1074,2022-07-16 20:56:37+00:00,Aylaazari,"@namedToobi It’s not a spoiler, 😂 basically saying no episode is a waste as long as I get to see Zoro 😻",0,0,it s not spoiler basically saying no episode is waste as long as i get see zoro,0.2,-0.125,Negative
1075,2022-07-16 20:38:07+00:00,Aylaazari,@namedToobi 😭 you would miss seeing Zoro-san,0,0,you would miss seeing zoro san,0.0,0.0,Neutral
1076,2022-07-16 20:16:58+00:00,Aylaazari,@namedToobi Na lie o,0,0,na lie o,0.0,0.0,Neutral
1077,2022-07-15 04:29:46+00:00,Aylaazari,@ayosogunro Lol,0,0,lol,0.7,0.8,Positive
1078,2022-07-13 14:32:08+00:00,Aylaazari,"@LolaSaks But ppl dragged him too, what’s your point?",1,0,but ppl dragged him too what s your point,0.0,0.0,Neutral
1079,2022-07-13 09:44:43+00:00,Aylaazari,"How to raise kids,
The values you instill in them from childhood matter. https://t.co/cLswSkOlDC",0,0,how raise kids values you instill them childhood matter,0.0,0.0,Neutral
1080,2022-07-13 09:39:08+00:00,Aylaazari,"@OlaoluwaAjayi_ @ayosogunro You get, and make jokes about it. So irresponsible",0,0,you get make jokes about it so irresponsible,0.0,0.0,Neutral
1081,2022-07-13 09:32:11+00:00,Aylaazari,@BOLMOJOLA Thanks,0,0,thanks,0.2,0.2,Positive
1082,2022-07-13 08:55:40+00:00,Aylaazari,@pyjama_ceo This insult is too smooth 😂,0,0,this insult is too smooth,0.5,0.4,Positive
